ID,Type,Name,Published,"Visibility in catalog",Stock,"Sale price","Regular price",Categories,Tags,Parent
424,simple,"Oppo Reno 8 Pro",1,visible,,18900000,20000000,"Điện thoại",phone,
425,simple,"Apple Watch Series 6",1,visible,,,4000000,"Đồng Hồ",,
426,simple,"Samsung S21 FE White",1,visible,,,14000000,"Điện thoại",phone,
427,simple,"Iphone 14 Purple",1,visible,,24000000,25000000,"Điện thoại",phone,
428,simple,"Apple Watch Ultra",1,visible,,,23000000,"Đồng Hồ",watch,
429,simple,"iPad Pro M1 12.9 inch 5G",1,visible,,29290000,34990000,"Máy tính bảng",,
430,simple,"Vivo X80",1,visible,,19000000,20000000,"Điện thoại",,
431,simple,"Alcatel 3T8",1,visible,,2330000,2990000,"Máy tính bảng",,
432,simple,"Xiaomi 11T Pro 5G",1,visible,,14500000,17000000,"Điện thoại",phone,
433,simple,"Máy In Phun Màu HP Ink Tank 415 WiFi (Z4B53A)",1,visible,,3890000,3990000,"Máy in",,
434,simple,"Xiaomi Watch S1 Active 47mm",1,visible,,4150000,5000000,"Đồng Hồ",,
435,simple,"Hornor Watch 3",1,visible,,2900000,3000000,"Đồng Hồ",,
436,simple,"Máy In Phun Màu HP Ink Tank 315 (Z4B04A)",1,visible,,3290000,3690000,"Máy in",,
437,simple,"Apple Watch Series 5 Silver",1,visible,,2700000,4000000,"Đồng Hồ",,
439,simple,"Máy in phun màu HP Ink Tank 115 (2LB19A)",1,visible,,2740000,3190000,"Máy in",,
440,simple,"Galaxy Watch4 Classic White",1,visible,,,3500000,"Đồng Hồ",,
441,simple,"Máy In Phun Màu Canon PIXMA G3010 Wifi",1,visible,,6490000,6590000,"Máy in",,
442,simple,"Máy in HP Laser Trắng đen đa năng In scan copy LaserJet 135a (4ZB82A)",1,visible,,3500000,4000000,"Máy in",printer,
443,simple,"Máy in màu Laser HP 150a (4ZB94A)",1,visible,,5190000,5390000,"Máy in",,
444,simple,"Máy in Laser đơn năng HP Neverstop 1000a (4RY22A)",1,visible,,3000000,3900000,"Máy in",printer,
445,simple,"Máy in Laser trắng đen HP LaserJet MFP M236dw (9YF95A)",1,visible,,,6900000,"Máy in",,
446,simple,"Máy in Laser trắng đen HP LaserJet M211d (9YF82A)",1,visible,,,4090000,"Máy in",,
449,simple,"XBOX Series X",1,visible,,14000000,17000000,"Máy trạm game",xbox,
474,simple,"Máy Lọc không khí Philips",1,visible,,2600000,3000000,"Máy lọc không khí",,
475,simple,"Máy lọc không khí Samsung",1,visible,,3800000,4000000,"Máy lọc không khí",,
476,simple,"Robot hút bụi Samsung VR05R5050WK/SV",1,visible,,5600000,7800000,"Robot hút bụi",,
477,simple,"Robot Hút Bụi Xiaomi",1,visible,,5900000,8000000,"Robot hút bụi",,
478,simple,"Máy hút bụi philips",1,visible,,4800000,5000000,Uncategorized,,
479,simple,"May hút bụi Elextrolux",1,visible,,,4000000,"Máy hút bụi",,
480,simple,"XBOX Series One X",1,visible,,700000,1300000,"Máy trạm game",,
481,simple,"Steam Deck",1,visible,,1500000,20000000,"Máy trạm game",,
482,simple,"Nitendo Switch",1,visible,,10000000,15000000,"Máy trạm game",,
483,simple,"Samsung Galaxy Watch 4 Milk",1,visible,,2900000,4000000,"Đồng Hồ",,
